frame,task_id,family,split,method,scope,direction,draw,k,gap,n_features,closed_pct,proj_pct,pred_pct
6,0,cover,test,rand_attr_same_norm,all,remove,0,,0.39580032229423523,100,1.325343887874686,1.3595458067579578,
6,0,cover,test,rand_attr_same_norm,all,remove,1,,0.39580032229423523,100,0.17022247438135407,0.1796170574993434,
6,0,cover,test,rand_attr_same_norm,all,remove,2,,0.39580032229423523,100,-0.126543057657047,-0.11590284837730047,
6,0,cover,test,attr_xtask,all,inject,,,0.39580032229423523,100,-0.4200331981638161,-0.34632957611007814,-0.5259128287434578
6,0,cover,test,rand_attr_raw,all,inject,0,,0.39580032229423523,100,0.32052153268746775,0.3400225263811513,0.3517267294228077
6,0,cover,test,rand_attr_raw,all,inject,1,,0.39580032229423523,100,-0.2207086817829218,-0.20142140301893946,0.044174783397465944
6,0,cover,test,single_attr_0,all,inject,,,0.39580032229423523,1,0.0,0.0,0.0
6,0,cover,test,single_attr_1,all,inject,,,0.39580032229423523,1,0.0,0.0,0.0
6,0,cover,test,single_attr_2,all,inject,,,0.39580032229423523,1,0.0,0.0,0.0
6,0,cover,test,mlp_ceiling,all,inject,,,0.39580032229423523,,94.34699422589887,102.31935672951992,
6,0,cover,test,mlp_ceiling,all,remove,,,0.39580032229423523,,88.86141743133254,102.49128513211012,
6,0,cover,test,all_tc,all,inject,,,0.39580032229423523,73728,69.17276598532248,90.37630905647053,10.404928773641586
6,0,cover,test,tc_error,all,inject,,,0.39580032229423523,,-76.62379417590208,17.862520589212384,
6,0,cover,test,k_attr_10,all,inject,,10,0.39580032229423523,10,0.024546612398068657,0.027121398871745948,0.05653203697875142
6,0,cover,test,k_random_10,all,inject,,10,0.39580032229423523,10,0.013131684669398513,0.014279490826277488,0.010072209988720715
6,0,cover,test,k_magnitude_10,all,inject,,10,0.39580032229423523,10,2.0026647380759766,2.213147918815453,1.7054127529263496
6,0,cover,test,k_oracle_10,all,inject,,10,0.39580032229423523,10,11.064114471545693,14.087189552942322,11.915411055088043
6,0,cover,test,k_attr_30,all,inject,,30,0.39580032229423523,30,-0.2355646530287414,-0.21970578406851532,-0.0012595028238138184
6,0,cover,test,k_random_30,all,inject,,30,0.39580032229423523,30,-0.08601855829313276,-0.08474738319154969,-0.010593130718916655
6,0,cover,test,k_magnitude_30,all,inject,,30,0.39580032229423523,30,2.248861236720079,2.577828092469262,2.1944016218185425
6,0,cover,test,k_oracle_30,all,inject,,30,0.39580032229423523,30,-50.93257173578056,28.72477854095318,23.157240450382233
6,0,cover,test,k_attr_100,all,inject,,100,0.39580032229423523,100,2.7935400243433106,3.3021172319749814,2.4748174473643303
6,0,cover,test,k_random_100,all,inject,,100,0.39580032229423523,100,-0.188481840965804,-0.16445553219309247,-0.05018971860408783
6,0,cover,test,k_magnitude_100,all,inject,,100,0.39580032229423523,100,2.0668473528247966,2.4089152376695186,1.3478935696184635
6,0,cover,test,k_oracle_100,all,inject,,100,0.39580032229423523,100,-50.161537039595714,40.420553904166894,43.23970079421997
6,0,cover,test,k_attr_300,all,inject,,300,0.39580032229423523,300,2.3813602362197317,3.402265378641486,1.7079437151551247
6,0,cover,test,k_random_300,all,inject,,300,0.39580032229423523,300,0.21540028861093408,0.23750088596663635,0.20334541331976652
6,0,cover,test,k_magnitude_300,all,inject,,300,0.39580032229423523,300,5.815657199781188,6.259248404607809,4.175127297639847
6,0,cover,test,k_oracle_300,all,inject,,300,0.39580032229423523,300,-40.47753702604238,55.883949023980016,72.70755171775818
6,0,cover,test,k_attr_1000,all,inject,,1000,0.39580032229423523,1000,5.7692068771174725,8.444412170376928,2.702324464917183
6,0,cover,test,k_random_1000,all,inject,,1000,0.39580032229423523,1000,0.19767552616153372,0.2375203717972578,-0.08728101383894682
6,0,cover,test,k_magnitude_1000,all,inject,,1000,0.39580032229423523,1000,6.459636823081039,7.819121921184408,2.812682092189789
6,0,cover,test,k_oracle_1000,all,inject,,1000,0.39580032229423523,1000,-22.367437939801317,85.17505744107615,121.01047039031982
6,0,cover,test,k_attr_3000,all,inject,,3000,0.39580032229423523,3000,24.28601923596033,31.273249069028434,2.538750506937504
6,0,cover,test,k_random_3000,all,inject,,3000,0.39580032229423523,3000,0.922764385274899,1.558216813320416,0.379597139544785
