run,family,direction,method,mean,ci95,sd,median,n_frames,n_tasks
main,cover,remove,attr,12.518185158815161,"[3.074006345423822, 22.293074896255103]",25.65586701480073,4.475512794340386,70,8
main,cover,remove,rand_attr_same_norm,-0.2711531758840673,"[-0.7343115212826867, 0.08872224117297922]",1.3435524348080057,0.03500208233265617,70,8
main,cover,remove,mlp_ceiling,82.70590102542398,"[75.68106976813412, 87.8899770145105]",14.453782811044862,86.98156720818085,70,8
main,screen,inject,sel_capped,0.4533505573135346,"[0.0009024711291582061, 1.1733464649893468]",1.5568267418736055,0.2026429295872489,69,8
main,screen,inject,rand_sel_same_norm,-0.0049197272502054705,"[-0.13103455391178997, 0.13603106839550955]",0.5990642328092015,0.10082489982567626,69,8
main,screen,inject,attr,2.8072961721901426,"[0.4409882004767977, 5.007765163539062]",6.034836362804598,2.126560338374206,69,8
main,screen,inject,rand_attr_same_norm,0.2867656787960351,"[-0.13061202663365454, 0.8820578919209806]",1.555674717086187,0.1865857100393553,69,8
main,screen,inject,all_tc,55.103231632137636,"[51.32204152630956, 58.38809741339734]",17.195005772004134,58.07414503139743,69,8
main,screen,inject,mlp_ceiling,78.54123749383025,"[73.33074819479606, 83.07456819887064]",15.778639915768567,85.16367389239166,69,8
main,screen,remove,sel_capped,0.13469068425861772,"[-0.8529920537557996, 1.0216899574545342]",4.308117656270067,0.1254056651087909,69,8
main,screen,remove,attr,7.292261700396992,"[4.654356818378207, 10.994399356653746]",7.363506924337522,5.193049147746576,69,8
main,screen,remove,rand_attr_same_norm,0.5192241754199175,"[0.07184949656048849, 0.9893951101966925]",1.4124308132077703,0.5238516015666087,69,8
main,screen,remove,mlp_ceiling,82.17714343112374,"[76.7156577204235, 87.23006374972846]",14.856083518602984,86.60852341862906,69,8
main,paint,inject,sel_capped,-0.014232327251695358,"[-0.2057780042663569, 0.15339931549796731]",0.8591174552818074,0.0778849315858143,63,8
main,paint,inject,rand_sel_same_norm,0.04674967679846526,"[-0.0017527386429854244, 0.10219668345953975]",0.301955744592819,0.029828810606598765,63,8
main,paint,inject,attr,5.247346209950884,"[3.3062640545561286, 7.466857415741381]",7.122584372104131,3.336883133003244,63,8
main,paint,inject,rand_attr_same_norm,0.11563533131515132,"[-0.018946944957702935, 0.260652328200097]",0.8967902542748287,-0.002985051949218794,63,8
main,paint,inject,all_tc,59.017268112288974,"[56.70955250495426, 61.196233833962054]",15.784132999559738,62.14803788016621,63,8
main,paint,inject,mlp_ceiling,75.7978721966675,"[70.15919578556364, 81.02251451652421]",17.299380518900747,81.37586406135657,63,8
main,paint,remove,sel_capped,0.8292245816576631,"[0.2243658443200109, 1.6311151470890861]",1.9178429984010037,0.5027503504661079,63,8
main,paint,remove,attr,18.730201077797943,"[11.481209858938904, 27.111977528081177]",18.75831563311521,11.367938639201746,63,8
main,paint,remove,rand_attr_same_norm,0.5276190635420074,"[0.10768491941345011, 1.079067393563777]",1.3153798119375355,0.43444092816186847,63,8
main,paint,remove,mlp_ceiling,82.72417010187314,"[80.05012579324651, 85.32223687468867]",13.902350679072237,88.10347251877612,63,8
rep_object,cover,inject,sel_capped,0.2042734828073704,"[0.037392210803277585, 0.37646282668581565]",0.7499182337368865,0.1039277645964009,59,10
rep_object,cover,inject,sel_uncapped,0.8635401866535667,"[0.48636279440866687, 1.3713463403927315]",2.1804239552768943,0.4390223352179978,59,10
rep_object,cover,inject,sel_target,0.2521194430561584,"[0.06778469700369294, 0.4606561138195965]",0.8400601947062374,0.0865253720328418,59,10
rep_object,cover,inject,sel_xtask,0.0010339050986034064,"[-0.12249849764657142, 0.13584455457779593]",0.5068271836651563,0.0246661244406531,59,10
